date,exercise,set,reps,weight,notes
2026-04-21,PullUps,1,3,,
2026-04-21,PullUps,2,3,,
2026-04-21,PullUps,3,3,,
2026-04-21,CableLateralRaise,1,8,4,
2026-04-21,CableLateralRaise,2,8,4,
2026-04-21,CableLateralRaise,3,8,4,
2026-04-21,CableTricepExt,1,8,19,
2026-04-21,CableTricepExt,2,8,19,
2026-04-21,CableTricepExt,3,8,19,
2026-04-21,BicepCurl,1,10,15,
2026-04-21,BicepCurl,2,10,15,
2026-04-21,BicepCurl,3,10,15,
2026-04-23,PullUps,1,4,,
2026-04-23,PullUps,2,3,,
2026-04-23,PullUps,3,3,,
2026-04-23,CableLateralRaise,1,10,4,
2026-04-23,CableLateralRaise,2,10,4,
2026-04-23,CableLateralRaise,3,10,4,
2026-04-23,CableTricepExt,1,10,19,
2026-04-23,CableTricepExt,2,10,19,
2026-04-23,CableTricepExt,3,10,19,
2026-04-23,BicepCurl,1,12,15,
2026-04-23,BicepCurl,2,12,15,
2026-04-23,BicepCurl,3,12,15,
2026-05-03,PullUps,1,4,,
2026-05-03,PullUps,2,4,,
2026-05-03,PullUps,3,3,,
2026-05-03,CableLateralRaise,1,12,4,
2026-05-03,CableLateralRaise,2,12,4,
2026-05-03,CableLateralRaise,3,12,4,
2026-05-03,CableTricepExt,1,10,19,
2026-05-03,CableTricepExt,2,10,19,
2026-05-03,CableTricepExt,3,10,19,
2026-05-03,BicepCurl,1,8,20,
2026-05-03,BicepCurl,2,8,20,
2026-05-03,BicepCurl,3,8,20,
2026-05-17,PullUps,1,4,,
2026-05-17,PullUps,2,4,,
2026-05-17,PullUps,3,4,,
2026-05-17,CableLateralRaise,1,8,5.5,
2026-05-17,CableLateralRaise,2,8,5.5,
2026-05-17,CableLateralRaise,3,8,5.5,
2026-05-17,CableTricepExt,1,12,19,
2026-05-17,CableTricepExt,2,12,19,
2026-05-17,CableTricepExt,3,12,19,
2026-05-17,BicepCurl,1,10,20,failed last set
2026-05-17,BicepCurl,2,10,20,
2026-05-19,CableLateralRaise,1,10,5.5,
2026-05-19,CableLateralRaise,2,10,5.5,
2026-05-19,CableLateralRaise,3,10,5.5,
2026-05-19,CableTricepExt,1,8,20.5,
2026-05-19,CableTricepExt,2,8,20.5,
2026-05-19,CableTricepExt,3,8,20.5,
2026-05-19,BicepCurl,1,10,20,
2026-05-19,BicepCurl,2,10,20,
2026-05-19,BicepCurl,3,10,20,
2026-05-26,CableLateralRaise,1,12,5.5,
2026-05-26,CableLateralRaise,2,12,5.5,
2026-05-26,CableLateralRaise,3,12,5.5,
2026-05-26,CableTricepExt,1,10,20.5,
2026-05-26,CableTricepExt,2,10,20.5,
2026-05-26,CableTricepExt,3,10,20.5,
2026-05-26,BicepCurl,1,10,20,
2026-05-26,BicepCurl,2,10,20,
2026-05-26,BicepCurl,3,10,20,
2026-06-09,PullUps,1,5,,
2026-06-09,PullUps,2,4,,
2026-06-09,PullUps,3,4,,
2026-06-09,CableLateralRaise,1,8,7.5,
2026-06-09,CableLateralRaise,2,8,7.5,
2026-06-09,CableLateralRaise,3,8,7.5,
2026-06-09,CableTricepExt,1,12,20.5,
2026-06-09,CableTricepExt,2,12,20.5,
2026-06-09,CableTricepExt,3,12,20.5,
2026-06-09,BicepCurl,1,9,20,
2026-06-09,BicepCurl,2,9,20,
2026-06-09,BicepCurl,3,9,20,
2026-06-21,PullUps,1,5,,5/4/4 on ~3h sleep after a near-PR easy run; pushed through
2026-06-21,PullUps,2,4,,
2026-06-21,PullUps,3,4,,
2026-06-21,CableLateralRaise,1,10,7.5,
2026-06-21,CableLateralRaise,2,10,7.5,
2026-06-21,CableLateralRaise,3,10,7.5,
2026-06-21,CableTricepExt,1,8,22.5,
2026-06-21,CableTricepExt,2,8,22.5,
2026-06-21,CableTricepExt,3,8,22.5,
2026-06-21,BicepCurl,1,10,20,
2026-06-21,BicepCurl,2,10,20,
2026-06-21,BicepCurl,3,10,20,
